ts,arm,family,template,item_id,rep,temperature,n_attempts,n_conv_attempts,lat_total_ms,conv_lat_ms,score,gate_pass,f0_ok,v_in,v_out,f_tok,r_in,r_out,k_in,k_out,k_rin,k_rout,f_conv_tok,f_exec_tok,doc_valid,kerr_flag,conv_errors,detail,final_error,transport_fail,raw_path
2026-08-24T17:17:11,NL-plain,TU,TU-01,TU-01-00,,0.0,1,0,1495,0,0.0,False,True,79,50,85,0,0,0,0,0,0,0,85,True,,,"{""n_calls"": 0, ""why"": ""no book call""}",,False,experiments/results/E1/raw_outputs/NL-plain/TU/TU-01-00.json
2026-08-24T17:17:11,NL-opt,TU,TU-01,TU-01-00,,0.0,1,0,1405,0,0.0,False,True,80,49,449,0,0,0,0,0,0,0,449,True,,,"{""n_calls"": 0, ""why"": ""no book call""}",,False,experiments/results/E1/raw_outputs/NL-opt/TU/TU-01-00.json
2026-08-24T17:17:11,NL-opt,EX,EX-01,EX-01-00,,0.0,1,0,1663,0,0.7143,False,True,182,126,449,0,0,0,0,0,0,0,449,True,,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": false, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": false, ""a3_deadline"": true, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/NL-opt/EX/EX-01-00.json
2026-08-24T17:17:11,JSON,EX,EX-01,EX-01-00,,0.0,1,0,1787,0,0.7143,False,True,182,127,389,0,0,0,0,0,0,0,389,True,,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": false, ""a3_deadline"": true, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-01-00.json
2026-08-24T17:17:13,JSON,TU,TU-01,TU-01-00,,0.0,1,0,1628,0,0.0,False,True,80,53,389,0,0,0,0,0,0,0,389,True,,,"{""n_calls"": 1, ""why"": ""no book call""}",,False,experiments/results/E1/raw_outputs/JSON/TU/TU-01-00.json
2026-08-24T17:17:14,NL-plain,EX,EX-01,EX-01-00,,0.0,1,0,1790,0,0.7857,False,True,181,129,85,0,0,0,0,0,0,0,85,True,,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": true, ""a3_deadline"": false, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/NL-plain/EX/EX-01-00.json
2026-08-24T17:17:24,CSIR-SIR,EX,EX-01,EX-01-00,,,,,,,0.0,False,False,,,,,,,,,,,,,,,,KeyError('conv_errors'),True,
