ts,arm,family,template,item_id,rep,temperature,n_attempts,n_conv_attempts,lat_total_ms,conv_lat_ms,score,gate_pass,f0_ok,v_in,v_out,f_tok,r_in,r_out,k_in,k_out,k_rin,k_rout,f_conv_tok,f_exec_tok,doc_valid,kerr_flag,conv_errors,detail,final_error,transport_fail,raw_path,rerun
2026-08-25T22:18:09,CSIR-SIR,CP,CP-02,CP-02-01,2,0.7,4,3,26244,102477,0.0,False,False,156,1050,295,0,0,1684,2048,3424,4096,1368,295,False,True,json:no JSON object found,"{""checker_exception"": ""AttributeError(\""'str' object has no attribute 'items'\"")""}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-02-01_r2.json,0
2026-08-25T22:18:30,JSON,CP,CP-03,CP-03-00,1,0.7,1,0,31096,0,1.0,True,True,238,640,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_branch_first"": true, ""h2_dry_before_tag"": true, ""h3_retry_bound"": true, ""h4_notes_after_tag"": true, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-03-00_r1.json,0
2026-08-25T22:19:05,JSON,CP,CP-03,CP-03-00,2,0.7,1,0,14996,0,0.8571,False,True,238,646,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 1, ""h1_branch_first"": true, ""h2_dry_before_tag"": true, ""h3_retry_bound"": false, ""h4_notes_after_tag"": true, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-03-00_r2.json,0
2026-08-25T22:20:07,CSIR-SIR,CP,CP-03,CP-03-00,2,0.7,4,3,18370,100036,0.4286,False,True,155,749,295,0,0,1623,2048,3302,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 4, ""h1_branch_first"": false, ""h2_dry_before_tag"": false, ""h3_retry_bound"": true, ""h4_notes_after_tag"": false, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-03-00_r2.json,0
2026-08-25T22:20:30,JSON,CP,CP-03,CP-03-01,0,0.7,1,0,22566,0,0.8571,False,True,235,1127,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 1, ""h1_branch_first"": true, ""h2_dry_before_tag"": true, ""h3_retry_bound"": false, ""h4_notes_after_tag"": true, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-03-01_r0.json,0
2026-08-25T22:20:32,CSIR-SIR,CP,CP-03,CP-03-00,0,0.7,4,3,18619,117658,0.4286,False,True,155,625,295,0,0,1623,2048,3302,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 4, ""h1_branch_first"": false, ""h2_dry_before_tag"": false, ""h3_retry_bound"": true, ""h4_notes_after_tag"": false, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-03-00_r0.json,0
2026-08-25T22:20:45,CSIR-SIR,CP,CP-03,CP-03-00,1,0.7,4,3,13057,113980,0.4286,False,True,155,343,295,0,0,1623,2048,3302,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 4, ""h1_branch_first"": false, ""h2_dry_before_tag"": false, ""h3_retry_bound"": true, ""h4_notes_after_tag"": false, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-03-00_r1.json,0
2026-08-25T22:20:45,JSON,CP,CP-03,CP-03-01,1,0.7,1,0,11531,0,1.0,True,True,235,603,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_branch_first"": true, ""h2_dry_before_tag"": true, ""h3_retry_bound"": true, ""h4_notes_after_tag"": true, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-03-01_r1.json,0
2026-08-25T22:22:19,JSON,CP,CP-03,CP-03-01,2,0.7,1,0,20007,0,0.8571,False,True,235,884,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 1, ""h1_branch_first"": true, ""h2_dry_before_tag"": true, ""h3_retry_bound"": false, ""h4_notes_after_tag"": true, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-03-01_r2.json,0
2026-08-25T22:22:59,CSIR-SIR,CP,CP-03,CP-03-01,0,0.7,4,3,19677,108310,0.2857,False,True,155,591,295,0,0,1620,2048,3296,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_branch_first"": false, ""h2_dry_before_tag"": false, ""h3_retry_bound"": true, ""h4_notes_after_tag"": false, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": false, ""h7_tag_gate"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-03-01_r0.json,0
