ts,arm,family,template,item_id,rep,temperature,n_attempts,n_conv_attempts,lat_total_ms,conv_lat_ms,score,gate_pass,f0_ok,v_in,v_out,f_tok,r_in,r_out,k_in,k_out,k_rin,k_rout,f_conv_tok,f_exec_tok,doc_valid,kerr_flag,conv_errors,detail,final_error,transport_fail,raw_path,rerun
2026-08-25T05:45:08,JSON,CP,CP-04,CP-04-02,0,0.7,1,0,19051,0,1.0,True,True,223,619,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-02_r0.json,0
2026-08-25T05:45:38,NL-opt,CP,CP-04,CP-04-02,0,0.7,1,0,77641,0,0.0,False,True,230,2048,449,0,0,0,0,0,0,0,449,True,False,,"{""hard_violations"": 5, ""h1_all_seated_once"": false, ""h2_host_seat1"": false, ""h3_not_adj_AB"": false, ""h4_not_adj_CD"": false, ""h5_adj_EF"": false}",,False,experiments/results/E1/raw_outputs/NL-opt/CP/CP-04-02_r0.json,0
2026-08-25T05:45:55,CSIR-SIR,CP,CP-03,CP-03-06,0,0.7,4,3,12056,142803,0.4286,False,True,155,325,295,0,0,1623,2048,3302,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 4, ""h1_branch_first"": false, ""h2_dry_before_tag"": false, ""h3_retry_bound"": true, ""h4_notes_after_tag"": false, ""h5_announce_after_playbook"": true, ""h6_legal_conditional"": true, ""h7_tag_gate"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-03-06_r0.json,0
2026-08-25T05:46:04,NL-opt,CP,CP-04,CP-04-04,0,0.7,1,0,25799,0,1.0,True,True,232,541,449,0,0,0,0,0,0,0,449,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true}",,False,experiments/results/E1/raw_outputs/NL-opt/CP/CP-04-04_r0.json,0
2026-08-25T05:46:16,JSON,CP,CP-04,CP-04-04,0,0.7,1,0,20682,0,1.0,True,True,225,769,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-04_r0.json,0
2026-08-25T05:46:55,NL-opt,CP,CP-04,CP-04-06,0,0.7,1,0,39217,0,0.3333,False,True,249,999,449,0,0,0,0,0,0,0,449,True,False,,"{""hard_violations"": 3, ""h1_all_seated_once"": false, ""h2_host_seat1"": true, ""h3_not_adj_AB"": false, ""h4_not_adj_CD"": false, ""h5_adj_EF"": true, ""s1_GH_pref"": false}",,False,experiments/results/E1/raw_outputs/NL-opt/CP/CP-04-06_r0.json,0
2026-08-25T05:47:19,JSON,CP,CP-04,CP-04-06,0,0.7,1,0,22354,0,1.0,True,True,242,492,389,0,0,0,0,0,0,0,389,True,False,,"{""hard_violations"": 0, ""h1_all_seated_once"": true, ""h2_host_seat1"": true, ""h3_not_adj_AB"": true, ""h4_not_adj_CD"": true, ""h5_adj_EF"": true, ""s1_GH_pref"": true}",,False,experiments/results/E1/raw_outputs/JSON/CP/CP-04-06_r0.json,0
2026-08-25T05:48:28,CSIR-SIR,CP,CP-04,CP-04-00,0,0.7,4,3,7941,134984,0.0,False,True,167,199,295,0,0,1623,2048,3302,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_all_seated_once"": false, ""h2_host_seat1"": false, ""h3_not_adj_AB"": false, ""h4_not_adj_CD"": false, ""h5_adj_EF"": false, ""s1_GH_pref"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-04-00_r0.json,0
2026-08-25T05:49:18,CSIR-SIR,CP,CP-04,CP-04-02,0,0.7,4,3,10676,154195,0.0,False,True,167,328,295,0,0,1608,2048,3272,4096,1368,295,False,True,json:no JSON object found,"{""hard_violations"": 5, ""h1_all_seated_once"": false, ""h2_host_seat1"": false, ""h3_not_adj_AB"": false, ""h4_not_adj_CD"": false, ""h5_adj_EF"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/CP/CP-04-02_r0.json,0
2026-08-25T05:49:41,NL-opt,CP,CP-05,CP-05-00,0,0.7,1,0,51197,0,1.0,True,True,274,1705,449,0,0,0,0,0,0,0,449,True,False,,"{""hard_violations"": 0, ""h1_sum_exact"": true, ""h2_infra_floor"": true, ""h3_training_cap"": true, ""h4_ev_tool_cap"": true, ""h5_veto"": true, ""s1_training_pref"": true, ""s2_events_headroom"": true, ""s3_infra_headroom"": true}",,False,experiments/results/E1/raw_outputs/NL-opt/CP/CP-05-00_r0.json,0
